HEAD	RELATION	TAIL
Open approach	access_of	Major thoracotomy with open intrapleural pneumonolysis
Open approach	access_of	Open heart surgery
Closed approach	access_of	Closed atrial septectomy
Open approach	access_of	Open atrial septectomy with inflow occlusion
Open approach	access_of	Closure of foramen ovale with prosthesis by open heart technique
Open approach	access_of	Repair of ostium secundum defect with prosthesis by open heart technique
Open approach	access_of	Enlargement of atrial septal defect in repair of total anomalous pulmonary venous connection
Closed approach	access_of	Closed heart valvotomy of pulmonary valve
Closed approach	access_of	Closed transventricular pulmonary valve commissurotomy
Open approach	access_of	Open pulmonary valve commissurotomy with inflow occlusion
Closed approach	access_of	Closed mitral valve commissurotomy
Closed approach	access_of	Closed heart valvotomy of mitral valve
Closed approach	access_of	Closed heart valvotomy of aortic valve
Open approach	access_of	Open heart valvuloplasty of tricuspid valve without replacement
Open approach	access_of	Open heart valvuloplasty of pulmonary valve without replacement
Open approach	access_of	Open heart valvuloplasty of mitral valve without replacement
Open approach	access_of	Repair of aortic valve without replacement
Open approach	access_of	Open heart valvuloplasty without replacement of valve
Percutaneous approach	access_of	Percutaneous valvuloplasty
Open approach	access_of	Thromboendarterectomy with graft of carotid artery by neck incision
Open approach	access_of	Thromboendarterectomy with graft of subclavian artery by neck incision
Open approach	access_of	Direct repair of aneurysm with graft of subclavian artery by neck incision
Open approach	access_of	Repair of ruptured aneurysm with graft of subclavian artery by neck incision
Percutaneous approach	access_of	Embolectomy with catheter of brachial artery by arm incision
Percutaneous approach	access_of	Embolectomy with catheter of ulnar artery by arm incision
Open approach	access_of	Direct repair of artery of hand
Open approach	access_of	Repair of aneurysm with graft of axillary-brachial artery of arm by incision
Open approach	access_of	Direct thrombectomy of subclavian vein by neck incision
Open approach	access_of	Direct thrombectomy of vena cava by abdominal incision
Open approach	access_of	Direct thrombectomy of vena cava by abdominal and leg incision
Open approach	access_of	Open excisional biopsy of esophagus
Open approach	access_of	Open biopsy of stomach
Percutaneous approach	access_of	Percutaneous placement of gastrostomy tube
Open approach	access_of	Enterotomy of small bowel for biopsy
Open approach	access_of	Duodenotomy for biopsy
Open approach	access_of	Duodenotomy for foreign body removal
Open approach	access_of	Open biopsy of jejunum
Open approach	access_of	Open biopsy of ileum
Open approach	access_of	Intra-abdominal manipulation of intestine
Open approach	access_of	Open biopsy of large intestine
Open approach	access_of	Colotomy for biopsy
Percutaneous approach	access_of	Percutaneous aspiration of liver
Open approach	access_of	Open biopsy of liver
Open approach	access_of	Open core needle biopsy of liver
Open approach	access_of	Open fine needle aspiration biopsy of liver
Percutaneous approach	access_of	Percutaneous core needle biopsy of liver
Percutaneous approach	access_of	Percutaneous fine needle biopsy of liver
Percutaneous approach	access_of	Percutaneous aspiration of gallbladder for drainage
Open approach	access_of	Open biopsy of gallbladder
Percutaneous approach	access_of	Percutaneous extraction of common duct stones
Open approach	access_of	Open biopsy of pancreas
Percutaneous approach	access_of	Percutaneous aspiration of renal pelvis
Open approach	access_of	Open biopsy of kidney
Open approach	access_of	Open repair of kidney
Open approach	access_of	Open excisional biopsy of bladder
Open approach	access_of	Open curettage of bladder
Open approach	access_of	Perineal prostatectomy
Open approach	access_of	Subtotal perineal prostatectomy
Open approach	access_of	Radical perineal prostatectomy
Open approach	access_of	Radical perineal prostatectomy with lymph node biopsy
Open approach	access_of	Radical perineal prostatectomy with bilateral pelvic lymphadenectomy
Percutaneous approach	access_of	Percutaneous aspiration of seminal vesicle
Open approach	access_of	Open biopsy of endometrium
Open approach	access_of	Open excision of lesion of endometrium
Percutaneous approach	access_of	Cingulotomy of brain by percutaneous radiofrequency
Open approach	access_of	Open excisional biopsy of brain
Closed approach	access_of	Closed excisional biopsy of brain
Closed approach	access_of	Closed excisional biopsy of cerebral meninges
Open approach	access_of	Open excisional biopsy of meninges
Percutaneous approach	access_of	Insertion of cerebral ventriculoatrial shunt
Percutaneous approach	access_of	Creation of ventriculo-auricular shunt
Percutaneous approach	access_of	Spinal percutaneous cordotomy
Percutaneous approach	access_of	Percutaneous aspiration of spinal cord syrinx
Percutaneous approach	access_of	Percutaneous needle biopsy of spinal cord
Percutaneous approach	access_of	Percutaneous implantation of neurostimulator electrodes, epidural
Percutaneous approach	access_of	Percutaneous implantation of neurostimulator electrodes, intradural
Open approach	access_of	Open excisional biopsy of nerve
Closed approach	access_of	Closed excisional biopsy of nerve
Percutaneous approach	access_of	Percutaneous needle biopsy of nerve
Open approach	access_of	Incisional biopsy of nerve ganglion
Closed approach	access_of	Closed excisional biopsy of nerve ganglion
Percutaneous approach	access_of	Percutaneous implantation of neurostimulator electrodes into neuromuscular component
Percutaneous approach	access_of	Percutaneous implantation of neurostimulator electrodes into autonomic nerve
Percutaneous approach	access_of	Percutaneous implantation of neurostimulator electrodes into cranial nerve
Percutaneous approach	access_of	Percutaneous implantation of neurostimulator electrodes into peripheral nerve
Open approach	access_of	Mediastinotomy with drainage by cervical approach
Open approach	access_of	Mediastinotomy with drainage by sternal split approach
Percutaneous approach	access_of	Percutaneous core needle biopsy of mediastinum
Percutaneous approach	access_of	Abdominal paracentesis
Open approach	access_of	Open drainage of subphrenic abscess
Percutaneous approach	access_of	Radiologic guidance for percutaneous drainage of abscess
Percutaneous approach	access_of	Percutaneous transhepatic cholangiogram
Percutaneous approach	access_of	Percutaneous discectomy
Open approach	access_of	Open biopsy of esophagus
Percutaneous approach	access_of	Percutaneous cholecystostomy
Open approach	access_of	Open operations on prosthesis in bile duct
Open approach	access_of	Open prostatectomy
Percutaneous approach	access_of	Percutaneous skeletal fixation of dislocation of metatarsophalangeal joint with manipulation
Percutaneous approach	access_of	Percutaneous skeletal fixation of dislocation of interphalangeal joint with manipulation
Open approach	access_of	Pyelotomy and exploration
Closed approach	access_of	Closed tricuspid commissurotomy
Open approach	access_of	Open division of brain tissue
Open approach	access_of	Open biopsy of lesion of brain tissue
Open approach	access_of	Open biopsy of lesion of brainstem
Open approach	access_of	Open biopsy of lesion of cerebellum
Open approach	access_of	Open biopsy of lesion of occipital lobe of brain
Open approach	access_of	Open biopsy of lesion of parietal lobe of brain
Open approach	access_of	Open biopsy of lesion of temporal lobe of brain
Open approach	access_of	Open biopsy of lesion of frontal lobe of brain
Percutaneous approach	access_of	Percutaneous thrombolysis of intracranial vein
Open approach	access_of	Open biopsy of lesion of spinal cord
Open approach	access_of	Open dorsal column neurostimulator electrode procedures
Open approach	access_of	Adjustment of neurostimulator electrode adjacent to spinal cord tissue
Closed approach	access_of	Application of surface transcutaneous neurostimulator
Open approach	access_of	Open dorsal column stimulation
Percutaneous approach	access_of	Percutaneous dorsal column stimulation
Open approach	access_of	Surgical removal of foreign body from lens
Open approach	access_of	Tympanotomy using permeatal approach
Open approach	access_of	Tympanotomy using mastoid approach
Open approach	access_of	Open rhinoplasty
Open approach	access_of	External ethmoidectomy
Open approach	access_of	Transorbital ethmoidectomy
Open approach	access_of	Removal of foreign body from pharynx by pharyngotomy
Open approach	access_of	Open biopsy of lesion of pharynx
Open approach	access_of	Open extirpation of lesion of larynx
Open approach	access_of	Excision of lesion of larynx using lateral pharyngotomy as approach
Open approach	access_of	Laryngofissure and cordectomy of vocal cord
Open approach	access_of	Arytenoidectomy by external approach
Open approach	access_of	Open destruction of lesion of larynx
Open approach	access_of	Open biopsy of lesion of larynx
Open approach	access_of	Open procedure to the trachea
Open approach	access_of	Open destruction of lesion of trachea
Open approach	access_of	Open placement of prosthesis in trachea
Open approach	access_of	Open biopsy of tracheal lesion
Open approach	access_of	Open excision of tracheal lesion
Open approach	access_of	Open tracheal stent procedure
Open approach	access_of	Open placement of tracheal stent
Open approach	access_of	Open replacement of tracheal stent
Open approach	access_of	Open removal of tracheal stent
Open approach	access_of	Open procedure to the carina
Open approach	access_of	Resection of tracheal carina
Open approach	access_of	Open biopsy of carinal lesion
Open approach	access_of	Open excision of carinal lesion
Open approach	access_of	Open procedure to bronchus
Open approach	access_of	Open destruction of lesion of bronchus
Open approach	access_of	Open biopsy of bronchial lesion
Open approach	access_of	Open excision of bronchial lesion
Open approach	access_of	Open repair of major bronchial fistula
Open approach	access_of	Open repair of bronchopleural fistula
Open approach	access_of	Open excision of lesion of lung
Open approach	access_of	Open decortication of lesion of lung
Open approach	access_of	Open extirpation of lesion of lung
Percutaneous approach	access_of	Percutaneous cricothyroidotomy
Percutaneous approach	access_of	Percutaneous dilatational cricothyroidotomy
Open approach	access_of	Open cricothyroidotomy
Percutaneous approach	access_of	Percutaneous transluminal injection of therapeutic substance into liver
Closed approach	access_of	Closed operations on septum of heart
Open approach	access_of	Thromboendarterectomy of coronary artery by open chest approach
Percutaneous approach	access_of	Percutaneous endarterectomy of coronary artery
Percutaneous approach	access_of	Percutaneous transluminal coronary angioplasty by rotoablation
Percutaneous approach	access_of	Percutaneous directional coronary atherectomy
Percutaneous approach	access_of	Percutaneous low speed rotational coronary atherectomy
Percutaneous approach	access_of	Percutaneous high speed rotational coronary atherectomy
Open approach	access_of	Coronary angioplasty by open chest approach
Percutaneous approach	access_of	Percutaneous angioscopy
Open approach	access_of	Open operation for coronary artery fistula
Percutaneous approach	access_of	Percutaneous transluminal cardiac valvotomy
Closed approach	access_of	Closed cardiac valvotomy
Open approach	access_of	Open cardiac valvotomy
Percutaneous approach	access_of	Percutaneous transluminal mitral valvotomy
Open approach	access_of	Open mitral valvotomy
Closed approach	access_of	Transluminal radiofrequency mitral valvotomy
Percutaneous approach	access_of	Percutaneous transluminal tricuspid valvotomy
Open approach	access_of	Open tricuspid valvotomy
Percutaneous approach	access_of	Percutaneous transluminal aortic valvotomy
Closed approach	access_of	Percutaneous transluminal aortic valvotomy
Open approach	access_of	Open aortic valvotomy
Percutaneous approach	access_of	Transluminal laser aortic valvotomy
Percutaneous approach	access_of	Percutaneous transluminal pulmonary valvotomy
Closed approach	access_of	Percutaneous transluminal pulmonary valvotomy
Open approach	access_of	Open pulmonary valvotomy
Percutaneous approach	access_of	Transluminal laser pulmonary valvotomy
Closed approach	access_of	Transluminal laser pulmonary valvotomy
Open approach	access_of	Open pulmonary valvectomy
Closed approach	access_of	Closed pulmonary valvectomy
Open approach	access_of	Open atrioventricular valvotomy
Closed approach	access_of	Closed atrioventricular valvotomy
Closed approach	access_of	Closed truncal valvotomy
Open approach	access_of	Open truncal valvotomy
Open approach	access_of	Open removal of foreign body from right atrium
Open approach	access_of	Open removal of foreign body from left atrium
Open approach	access_of	Open enlargement of atrial septal defect
Open approach	access_of	Open atrial fenestration
Closed approach	access_of	Closed atrial fenestration
Open approach	access_of	Open right ventricular biopsy
Open approach	access_of	Open removal of foreign body from right ventricle
Open approach	access_of	Open resection of right ventricular muscle bands
Open approach	access_of	Open insertion of right ventricular catheter
Open approach	access_of	Open left ventricular biopsy
Open approach	access_of	Open removal of foreign body from left ventricle
Open approach	access_of	Open resection of left ventricular muscle
Percutaneous approach	access_of	Transluminal closure of ventricular septal defect using prosthesis
Open approach	access_of	Open operations on conducting system of heart
Open approach	access_of	Open division of accessory pathway within heart
Percutaneous approach	access_of	Percutaneous transluminal ablation of atrioventricular node
Open approach	access_of	Open ablation of atrioventricular node
Percutaneous approach	access_of	Percutaneous insertion of pericardial drainage tube
Closed approach	access_of	Closed decompression of cardiac tamponade
Open approach	access_of	Open decompression of cardiac tamponade
Open approach	access_of	Open operations for combined abnormality of great vessels
Open approach	access_of	Open correction of patent ductus arteriosus
Percutaneous approach	access_of	Transluminal closure of ductus arteriosus with prosthesis
Open approach	access_of	Open pulmonary embolectomy
Percutaneous approach	access_of	Percutaneous angioplasty of subclavian artery
Percutaneous approach	access_of	Percutaneous transluminal embolectomy of iliac artery
Open approach	access_of	Open embolectomy of iliac artery
Percutaneous approach	access_of	Percutaneous transluminal embolectomy of renal artery
Open approach	access_of	Open embolectomy of renal artery
Percutaneous approach	access_of	Percutaneous transluminal embolectomy of axillary artery
Percutaneous approach	access_of	Percutaneous transluminal embolectomy of subclavian artery
Percutaneous approach	access_of	Percutaneous transluminal embolectomy of vertebral artery
Open approach	access_of	Open embolectomy of axillary artery
Open approach	access_of	Open embolectomy of vertebral artery
Open approach	access_of	Open embolectomy of subclavian artery
Open approach	access_of	Open embolectomy of carotid artery
Percutaneous approach	access_of	Percutaneous transluminal embolectomy of bifurcation of aorta
Open approach	access_of	Open embolectomy of bifurcation of aorta
Open approach	access_of	Open embolectomy of circle of Willis
Open approach	access_of	Open embolectomy of cerebral artery
Open approach	access_of	Open embolectomy of brachial artery
Open approach	access_of	Open embolectomy of femoral artery
Open approach	access_of	Open embolectomy popliteal artery
Open approach	access_of	Open removal of thrombus from vein
Open approach	access_of	Open thrombectomy of vein of lower limb
Open approach	access_of	Open thrombectomy of vein of upper limb
Percutaneous approach	access_of	Percutaneous thrombolysis of axillary vein
Percutaneous approach	access_of	Percutaneous thrombolysis of iliofemoral vein
Open approach	access_of	Open insertion of cannula for perfusion of liver
Percutaneous approach	access_of	Percutaneous transluminal cannulation of vein
Open approach	access_of	Open cannulation of vein
Open approach	access_of	Open insertion of central venous catheter
Percutaneous approach	access_of	Percutaneous intraperitoneal fetal blood transfusion
Percutaneous approach	access_of	Percutaneous intravascular fetal blood transfusion
Percutaneous approach	access_of	Percutaneous biopsy of major salivary gland
Open approach	access_of	Open operations on submandibular duct
Open approach	access_of	Open operations on parotid duct
Open approach	access_of	Open extraction of calculus from parotid duct
Open approach	access_of	Open extraction of calculus from submandibular duct
Open approach	access_of	Gastrotomy and ligation of bleeding point of stomach
Open approach	access_of	Open biopsy of lesion of pylorus
Open approach	access_of	Open biopsy of lesion of stomach
Open approach	access_of	Open extirpation of lesion of stomach
Open approach	access_of	Open laser destruction of lesion of stomach
Open approach	access_of	Open insertion of prosthesis into stomach
Open approach	access_of	Open biopsy of lesion of duodenum
Open approach	access_of	Open extirpation of lesion of duodenum
Open approach	access_of	Open destruction of lesion of duodenum
Open approach	access_of	Open insertion of tubal prosthesis into duodenum
Open approach	access_of	Open intubation of ileum
Open approach	access_of	Open intubation of jejunum
Open approach	access_of	Open endoscopic operations on jejunum
Open approach	access_of	Open biopsy of lesion of ileum
Open approach	access_of	Open biopsy of lesion of jejunum
Open approach	access_of	Open destruction of lesion of ileum
Open approach	access_of	Open extirpation of lesion of ileum
Open approach	access_of	Open destruction of lesion of jejunum
Open approach	access_of	Open endoscopic operation on colon
Open approach	access_of	Open biopsy of lesion of colon
Open approach	access_of	Open removal of foreign body from colon
Open approach	access_of	Open operation on rectal polyp
Open approach	access_of	Open extirpation of lesion of rectum
Open approach	access_of	Open laser destruction of lesion of rectum
Open approach	access_of	Open excision of lesion of rectum
Open approach	access_of	Intra-abdominal manipulation of GIT
Open approach	access_of	Intra-abdominal manipulation of ileum
Open approach	access_of	Open relief of strangulation of ileum
Open approach	access_of	Intra-abdominal manipulation of colon
Open approach	access_of	Open reduction of intussusception of ileum
Open approach	access_of	Open reduction of intussusception of gastroenterostomy
Open approach	access_of	Open reduction of intussusception of colon
Open approach	access_of	Open insertion of feeding tube into stomach
Percutaneous approach	access_of	Diagnostic percutaneous operations on liver
Percutaneous approach	access_of	Percutaneous drainage of liver
Open approach	access_of	Open drainage of liver
Open approach	access_of	Open wedge biopsy of lesion of liver
Percutaneous approach	access_of	Percutaneous removal of calculus from liver
Percutaneous approach	access_of	Diagnostic percutaneous aspiration of lesion of pancreas
Percutaneous approach	access_of	Therapeutic percutaneous drainage of pancreas operations
Percutaneous approach	access_of	Percutaneous aspiration of lesion of pancreas
Open approach	access_of	Open drainage of lesion of pancreas
Open approach	access_of	Open cystogastrotomy of pancreas
Open approach	access_of	Open insertion of pancreatic duct stent
Open approach	access_of	Open dilation of pancreatic duct
Open approach	access_of	Open biopsy of lesion of pancreas
Open approach	access_of	Open pancreatography
Open approach	access_of	Ambigrade operative pancreatography
Percutaneous approach	access_of	Diagnostic percutaneous operations on gallbladder
Percutaneous approach	access_of	Percutaneous biopsy of lesion of gallbladder
Percutaneous approach	access_of	Percutaneous fragmentation of gallbladder stone
Open approach	access_of	Open dilation of anastomosis of common bile duct
Open approach	access_of	Open dilation of anastomosis of hepatic duct
Open approach	access_of	Open biopsy of lesion of bile duct
Percutaneous approach	access_of	Percutaneous removal of calculus from bile duct along T tube track
Open approach	access_of	Open removal of calculus from bile duct and drainage of bile duct
Percutaneous approach	access_of	Therapeutic percutaneous insertion of prosthesis into bile duct
Percutaneous approach	access_of	Percutaneous insertion of tubal prosthesis into common bile duct
Percutaneous approach	access_of	Percutaneous insertion of tubal prosthesis into both hepatic ducts
Open approach	access_of	Open insertion of tubal prosthesis into one hepatic duct and common bile duct
Open approach	access_of	Open insertion of tubal prosthesis into both hepatic ducts and common bile duct
Open approach	access_of	Open insertion of bile duct stent
Percutaneous approach	access_of	Removal of percutaneously inserted tubal prosthesis from bile duct
Open approach	access_of	Open removal of bile duct stent
Percutaneous approach	access_of	Renewal of percutaneously inserted tubal prosthesis in bile duct
Open approach	access_of	Open renewal of bile duct stent
Percutaneous approach	access_of	Percutaneous cholangiogram
Open approach	access_of	Open removal or destruction of renal lesion
Open approach	access_of	Open deroofing of renal cyst
Open approach	access_of	Open excision of renal lesion
Open approach	access_of	Open destruction of renal lesion
Open approach	access_of	Rovsing's operation
Open approach	access_of	Open repair of kidney or renal pelvis
Open approach	access_of	Anderson-Hynes pyeloplasty
Open approach	access_of	Stewart operation, renal plication with pyeloplasty
Open approach	access_of	Ureterocaliceal anastomosis
Open approach	access_of	Open stone operation on kidney or renal pelvis
Open approach	access_of	Open incision or drainage of kidney or renal pelvis
Open approach	access_of	Therapeutic open aspiration of renal cyst
Open approach	access_of	Therapeutic open aspiration of renal pelvis
Open approach	access_of	Open nephrostomy or pyelostomy
Open approach	access_of	Open nephrostomy
Open approach	access_of	Open pyelostomy
Open approach	access_of	Open renal denervation
Percutaneous approach	access_of	Percutaneous extraction of kidney stone with fragmentation procedure
Percutaneous approach	access_of	Percutaneous removal of renal lesion
Percutaneous approach	access_of	Percutaneous needle puncture operation on kidney or renal pelvis
Percutaneous approach	access_of	Percutaneous puncture of renal collecting system
Percutaneous approach	access_of	Percutaneous needle biopsy of renal lesion
Percutaneous approach	access_of	Percutaneous drainage of renal lesion
Percutaneous approach	access_of	Percutaneous aspiration of renal lesion
Percutaneous approach	access_of	Percutaneous puncture of kidney for upper tract urodynamics
Open approach	access_of	Open ureterolithotomy
Open approach	access_of	Lower third open ureterolithotomy
Open approach	access_of	Middle third open ureterolithotomy
Open approach	access_of	Upper third open ureterolithotomy
Open approach	access_of	Open excision of ureteric lesion
Open approach	access_of	Open biopsy of ureteric lesion
Percutaneous approach	access_of	Percutaneous insertion of ureteric stent
Percutaneous approach	access_of	Percutaneous removal of ureteric stent
Percutaneous approach	access_of	Percutaneous replacement of ureteric stent
Open approach	access_of	Open operation on content or wall of bladder
Open approach	access_of	Open operations on contents of bladder
Open approach	access_of	Open removal of bladder lesion
Open approach	access_of	Open transection of bladder
Open approach	access_of	Surgical closure of bladder neck
Open approach	access_of	Open resection of female bladder neck
Open approach	access_of	Open operation on prostatic (and adjacent) tissue
Open approach	access_of	Open excision of prostatic lesion
Open approach	access_of	Open operation on male bladder neck
Open approach	access_of	Open prostatotomy
Open approach	access_of	Open resection of male bladder neck
Closed approach	access_of	Closed operation on prostate
Open approach	access_of	Open excision of urethral lesion
Open approach	access_of	Open biopsy of urethral lesion
Closed approach	access_of	Closed urethrotomy
Closed approach	access_of	Otis urethrotomy in female
Closed approach	access_of	Otis urethrotomy in male
Closed approach	access_of	Closed urethrotomy in female
Closed approach	access_of	Closed urethrotomy of female bladder neck
Closed approach	access_of	Optical urethrotomy
Open approach	access_of	Open operation on female urethra
Open approach	access_of	Open operation on male urethra
Open approach	access_of	Duckett hypospadias repair
Open approach	access_of	Asopa hypospadias repair
Open approach	access_of	Harris hypospadias repair
Open approach	access_of	Open myomectomy
Open approach	access_of	Open biopsy of lesion of uterus
Open approach	access_of	Open dilation of fallopian tube
Open approach	access_of	Open ligation of left fallopian tube
Open approach	access_of	Open ligation of right fallopian tube
Open approach	access_of	Open clipping of left fallopian tube
Open approach	access_of	Open clipping of right fallopian tube
Open approach	access_of	Open clipping of remaining solitary fallopian tube
Open approach	access_of	Open ligation of remaining solitary fallopian tube
Open approach	access_of	Open bilateral occlusion of fallopian tubes
Open approach	access_of	Open bilateral clipping of fallopian tubes
Open approach	access_of	Open bilateral ligation of fallopian tubes
Open approach	access_of	Open freeing of adhesions of fallopian tube
Open approach	access_of	Open biopsy of fallopian tube
Open approach	access_of	Open destruction of lesion of ovary
Open approach	access_of	Open diagnostic aspiration of ovary
Open approach	access_of	Open drainage of ovarian cyst
Open approach	access_of	Open biopsy of lesion of ovary
Percutaneous approach	access_of	Percutaneous sampling of chorionic villus
Percutaneous approach	access_of	Percutaneous biopsy of breast lesion
Percutaneous approach	access_of	Percutaneous needle biopsy of breast
Percutaneous approach	access_of	Percutaneous drill biopsy of breast
Percutaneous approach	access_of	Percutaneous fine needle aspiration of mastectomy scar
Open approach	access_of	Open capsulotomy of breast
Closed approach	access_of	Closed capsulotomy of breast
Open approach	access_of	Open capsulectomy of breast
Open approach	access_of	Open drainage of peritoneum
Percutaneous approach	access_of	Image controlled percutaneous drainage of subphrenic abscess
Percutaneous approach	access_of	Image controlled percutaneous drainage of pelvic abscess
Open approach	access_of	Open drainage of pelvic abscess
Open approach	access_of	Open extirpation of lesion of peritoneum
Open approach	access_of	Open excision of lesion of peritoneum
Open approach	access_of	Open destruction of lesion of peritoneum
Open approach	access_of	Open instillation of therapeutic substance into abdominal cavity
Open approach	access_of	Open instillation of sclerosing substance into peritoneal cavity
Open approach	access_of	Open mediastinal procedure
Open approach	access_of	Open biopsy of lesion of mediastinum
Open approach	access_of	Open excision of lesion of mediastinum
Open approach	access_of	Open drainage of the mediastinum
Open approach	access_of	Open pleural procedure
Open approach	access_of	Open instillation of therapeutic substance into pleura
Open approach	access_of	Open procedure for pleural lesion
Open approach	access_of	Open biopsy of pleural lesion
Open approach	access_of	Open excision of pleural lesion
Open approach	access_of	Open destruction of pleural lesion
Open approach	access_of	Open drainage of pleural cavity
Open approach	access_of	Excision of rib and open drainage of pleural cavity
Open approach	access_of	Open pleuroperitoneal shunt procedure
Open approach	access_of	Procedure to obliterate the pleural space
Open approach	access_of	Open pleurodesis
Open approach	access_of	Chemical open pleurodesis
Open approach	access_of	Mechanical open pleurodesis
Percutaneous approach	access_of	Non-thoracoscopic percutaneous pleural puncture procedure
Percutaneous approach	access_of	Percutaneous biopsy of lesion of pleura
Percutaneous approach	access_of	Percutaneous repair of tendo achilles
Percutaneous approach	access_of	Ma-Griffith percutaneous repair of tendo Achilles
Percutaneous approach	access_of	Percutaneous needle biopsy of muscle
Percutaneous approach	access_of	Therapeutic percutaneous puncture of bone
Open approach	access_of	Revision to open reduction of fracture and internal fixation with tension band wiring
Open approach	access_of	Open osteoclasis
Closed approach	access_of	Closed osteoclasis
Percutaneous approach	access_of	Percutaneous needle biopsy of lesion of bone
Open approach	access_of	Open biopsy of lesion of bone
Open approach	access_of	Open direct repair orbital floor
Open approach	access_of	Open operations on synovial membrane of joint
Open approach	access_of	Open excision of articular cartilage of joint
Open approach	access_of	Open reattachment glenoid labrum
Open approach	access_of	Open drilling of articular cartilage
Open approach	access_of	Open excision of intra-articular osteophyte
Open approach	access_of	Forage of joint
Open approach	access_of	Open division of synovial plica
Open approach	access_of	Open synovial biopsy
Open approach	access_of	Open partial medial meniscectomy
Open approach	access_of	Open total medial meniscectomy
Open approach	access_of	Open partial lateral meniscectomy
Open approach	access_of	Open total lateral meniscectomy
Open approach	access_of	Open total meniscectomy of knee
Open approach	access_of	Open meniscectomy
Open approach	access_of	Open repair medial meniscus
Open approach	access_of	Open repair lateral meniscus
Open approach	access_of	Arthrotomy with open meniscus repair
Open approach	access_of	Revision to open reduction of dislocation and skin traction
Open approach	access_of	Revision to open reduction of dislocation and skeletal traction
Open approach	access_of	Revision to open reduction of dislocation and external fixation
Open approach	access_of	Primary open prosthetic replacement intra-articular ligament
Open approach	access_of	Primary open allograft replacement intra-articular ligament
Open approach	access_of	Primary open xenograft replacement intra-articular ligament
Open approach	access_of	Revision open prosthetic replacement intra-articular ligament
Open approach	access_of	Revision open allograft replacement intra-articular ligament
Open approach	access_of	Revision open xenograft replacement intra-articular ligament
Open approach	access_of	Open excision of natural ligament
Open approach	access_of	Open excision of implanted ligament
Open approach	access_of	Primary open repair intra-articular ligament
Open approach	access_of	Revision open repair intra-articular ligament
Open approach	access_of	Primary open intra-articular prosthetic augmentation intra-articular ligament
Open approach	access_of	Primary open intra-articular allograft augmentation intra-articular ligament
Open approach	access_of	Primary open intra-articular xenograft augmentation intra-articular ligament
Open approach	access_of	Revision open intra-articular prosthetic augmentation intra-articular ligament
Open approach	access_of	Revision open intra-articular allograft augmentation intra-articular ligament
Open approach	access_of	Revision open intra-articular xenograft augmentation intra-articular ligament
Open approach	access_of	Primary open reattachment intra-articular ligament
Open approach	access_of	Primary open autograft replacement intra-articular ligament
Open approach	access_of	Revision open reattachment intra-articular ligament
Open approach	access_of	Revision open autograft replacement intra-articular ligament
Open approach	access_of	Open repair of glenoid labrum
Open approach	access_of	Open removal of loose body from joint
